variant,Year,Trt_code,DryYield_AC,SeasonalET_AC
gross95,2012,1,3.6813760124022004,503.249953189951
gross95,2012,2,3.2109561310053114,462.97434064058297
gross95,2012,3,3.280890450015762,496.122658921088
gross95,2012,4,3.266018124771966,481.3531886992706
gross95,2012,5,3.216796570116199,461.2190527901992
gross95,2012,6,3.127924819354062,454.51286561003735
gross95,2012,7,2.189469738116342,476.8160557797887
gross95,2012,8,2.1444228432717396,461.59045611330316
gross95,2012,9,1.778869963313428,446.11716855912607
gross95,2012,10,1.8164372929659682,431.1423942863464
gross95,2012,11,0.0,412.7846698661268
gross95,2012,12,0.0,371.39877985784074
gross95,2013,1,2.026112444911342,471.14931728023515
gross95,2013,2,2.0333739151895687,450.03816249107024
gross95,2013,3,1.2651809781423402,454.33195713001703
gross95,2013,4,1.2605507240719407,451.6601278116359
gross95,2013,5,1.306134372255209,432.70799682152824
gross95,2013,6,1.2964901600684617,410.9056824926744
gross95,2013,7,0.8814968244140083,441.62085588794145
gross95,2013,8,1.026365156787268,442.5879979873891
gross95,2013,9,1.011628578835297,421.8628822420734
gross95,2013,10,1.0705790288855872,401.24776774831787
gross95,2013,11,0.0,384.6648507279224
gross95,2013,12,0.0,361.1018955998596
effective100,2012,1,3.4751854668503075,500.8546874716364
effective100,2012,2,3.0473986865808063,458.79604437847877
effective100,2012,3,2.9317758181012663,491.41492310239556
effective100,2012,4,3.0712515096660935,477.3378131406718
effective100,2012,5,2.90285374769678,458.02510354240303
effective100,2012,6,2.8608028014667406,451.5948349711461
effective100,2012,7,1.7084454416818815,468.82377242708344
effective100,2012,8,1.6451591717873524,453.1727500949239
effective100,2012,9,1.4585144197770044,440.56801342512324
effective100,2012,10,1.4021052599687989,422.39169570209333
effective100,2012,11,0.0,412.62991796340515
effective100,2012,12,0.0,372.3352884522024
effective100,2013,1,1.4888324321108082,460.83996635293
effective100,2013,2,1.5041300124113486,440.03419460722955
effective100,2013,3,1.006091313145113,448.02771370034196
effective100,2013,4,0.9913124640406347,445.06836407493233
effective100,2013,5,0.9886397443205381,425.8045335557811
effective100,2013,6,1.004573727336036,403.7682091917488
effective100,2013,7,0.0,438.14591462830515
effective100,2013,8,0.8759613419789465,439.52597607779745
effective100,2013,9,0.9047496479697635,420.0566510812987
effective100,2013,10,0.9102099654747665,396.74754293405664
effective100,2013,11,0.0,383.89207813872076
effective100,2013,12,0.0,358.8424355524537
